Fp1_alpha,AF3_alpha,F3_alpha,F7_alpha,FC5_alpha,FC1_alpha,C3_alpha,T7_alpha,CP5_alpha,CP1_alpha,P3_alpha,P7_alpha,PO3_alpha,O1_alpha,Oz_alpha,Pz_alpha,Fp2_alpha,AF4_alpha,Fz_alpha,F4_alpha,F8_alpha,FC6_alpha,FC2_alpha,Cz_alpha,C4_alpha,T8_alpha,CP6_alpha,CP2_alpha,P4_alpha,P8_alpha,PO4_alpha,O2_alpha
3.3946782745913953,4.007628743327122,4.575582270008587,4.593068285612707,2.4204485445558883,2.236045101181504,3.0521873258605785,5.000084910363778,3.6671960561848747,1.9160890448900272,5.766992118042103,5.530268708573011,6.252866237631568,5.356418507420363,4.832785956066517,2.8456840655514504,4.509694564306772,3.899903930017565,4.33826056830583,4.929704400843777,3.7393178530036066,2.8075732488377305,3.652296368261613,1.4621471967205881,2.672960026450656,4.822798679330651,2.624260626355304,1.6987525652865043,6.174993359420147,3.5428942087496336,6.317512832482562,5.4584573933660785
4.183543990254512,4.816386066692915,5.099086265421317,5.790204913273891,3.0607203027294565,2.67474467068529,3.4980346761469017,6.457115584310392,3.808321083139925,2.2001815610871565,6.5913940706546255,6.185614570562147,6.966327010606816,5.750149859632398,5.661308452002487,3.4450642324440803,5.490664907787926,4.563610923337718,5.116400495316113,5.869554347399879,4.283571259052431,2.972744301414112,4.427055392491658,1.8820570757000536,3.0407542347878485,5.195962556157559,2.630978805750714,2.3379791955796114,7.029076198701312,3.778309444625172,7.619189311176817,6.908074210122045
4.335426810358027,4.993093112526503,5.513416906844206,6.179782705009723,3.291988664191643,2.6474235239720967,3.450333325592041,6.813746091890316,4.570525011106937,2.484651728657819,7.811160882780429,7.443251636122084,7.879582915200181,6.425533074299759,6.105109340288693,3.6059485684616215,6.9736814493441495,5.190734499130569,6.017376413063882,7.749019102724098,4.810822623362606,3.928481466723333,4.9375356639294825,1.771372181773066,3.6679986834617178,6.531169035990588,3.3943734052791537,2.2256684379813483,8.203509622384358,4.52684434916312,9.34355937064435,8.398902857105737
3.2644976564314128,3.9629708980130993,4.32412680166664,4.758669524900523,2.5778235378479355,2.316090477484257,2.8903112001131523,5.74720254999184,3.4561680041565657,1.938038409340033,5.771953249861287,5.187804571920981,6.519950983512569,5.626727958880843,5.247503760495237,2.9108026201708994,5.3663331839406085,5.3872994987260725,6.2395349502352095,6.229522023204581,4.159428553868708,3.3498555479165013,4.812874650323901,3.6025543970719487,2.907337052370976,5.163243858071447,2.3552778915478623,1.703604581946676,6.098859961760389,2.9863172421440387,6.689161068128228,6.443174515038796
2.7696867737558337,2.961078843756121,3.125772458417177,3.3567116104421713,2.009084319448964,1.6770555113688168,2.0116179582114206,4.0320468769130695,2.8153844167846795,1.700608186178764,4.260046606216846,4.676970754097227,5.6722492270966764,4.435169963484659,4.06771432818055,2.614116005910418,3.36912493018336,2.843120922089417,2.965821190197546,3.4709358856006682,3.2094908179372004,2.3410154868533883,2.6883080170774853,1.3194159596920143,1.9910509078221381,3.467747420108531,2.2437228384790906,1.6243883336609908,4.3663782753673015,3.259265329390145,5.281307768711937,5.249771321146829
3.5023339887251033,3.8206486863879214,4.1497343747256865,4.554552465274382,2.682417394131214,2.2800373502842053,2.9725677165372124,5.9074876291169724,3.76362587197436,2.0638381187101547,5.7075099737393895,6.189850383838038,6.596053527977964,5.231182284538486,4.8232319511312935,3.6733496369292538,4.589116163555599,3.888998346237708,3.8593417226510542,4.682408276499396,3.7630118646569457,2.6821069284273262,3.4597317913728656,1.7236455998504063,2.6132705788231383,4.336285799003942,2.6019430314054883,2.425684043725087,6.7161939640989745,3.5578817924237915,7.137993624386829,6.209571391350215
4.186437110783878,4.869122788877903,5.463993971710449,5.83957071995879,3.2413597839773614,3.0951051689337428,4.396518972266039,7.8824895423820625,5.594270174347229,2.9773259135437096,9.48337727318389,7.3707609261117195,10.305792581027033,7.014083611234878,5.8136924600888875,3.9335665190464537,6.44691532359824,5.714587836023076,4.541445448508552,6.155749730259098,4.765238917535303,4.012172541668859,4.033988371990497,1.6526060115402743,4.412909249508867,6.433697735925428,3.008506690607037,2.082354490925031,8.805042794324994,3.9925348146022337,8.291891203726339,6.849115734935812
5.144351485902603,6.348901754263406,6.885295748624571,7.318044725262295,4.253631948497528,3.756719069612255,3.941196004253696,7.883933985684647,5.145719932041494,2.8485746328766397,8.30362770843853,9.090940409179284,8.875212467454482,7.348806099632849,7.387172441203298,4.323575462560198,7.568749777083094,6.0830186059792375,8.677767657496053,8.826866301965996,4.931624178824764,3.7314945684022103,6.359174245779324,2.3376879925074046,4.216567921307607,6.1485713824383605,3.917172042215429,2.7130577217749856,9.422769612058195,6.054179540050957,11.201799467123122,10.27669655212476
5.189772850242603,6.306576326933638,6.848187156043861,7.767533989964732,4.038622710327642,3.5419607113308094,4.375369761174264,9.176584778963225,5.280366207820613,2.6192124740698546,9.801121155366623,8.148415550992386,9.398527965492448,7.642958742268336,7.097904421189081,4.133697158926854,8.672505816614867,7.648042232536643,8.942014547865462,10.151104820217329,5.59625265826816,4.4487244972125195,7.3407685598005115,2.183989911135532,4.75665974517192,7.3045781546359025,3.382151316323667,2.3464175399348455,10.189581191004804,4.8018568546077205,10.072151314021944,8.270094805700026
4.127667107642705,4.479111553078487,4.575930276278082,5.149440834089705,3.2835078429604,2.478588366454035,3.1669527819606094,7.190629239464633,4.585228963249197,2.679383753312769,8.17038264836252,6.729648051083906,8.830880115577717,5.829119086136147,5.014490257812806,3.8431381911019766,5.692983482627906,4.269160183241402,4.7419989171504575,5.527276447449969,3.986523725531901,2.9806225514108697,4.313790547476053,1.846485937382968,3.4414131404771413,5.215975785674784,2.7881240945518364,2.3582659721701877,7.3269817752519595,3.867892345593531,7.246323769530981,6.067003491769572
4.234347576016496,5.415623871747303,5.9838932533451334,6.0313690834729865,3.256401353863445,2.812043692199888,3.440423256603834,7.221859541250807,4.407965791467309,2.219167372835232,7.785278715117527,6.755293446179725,7.5597587924828735,5.857207601581718,5.169088627616293,2.8141308026119503,6.425426940761,5.366471016830559,5.7929294694142355,6.842329825498519,4.1750048243007285,3.4210318605655257,4.492664314694547,1.6191814527575277,3.4257063949984747,6.0256931008542045,3.0519539182423663,1.7475604568693082,8.07081004562595,4.202760420922323,7.737737699749503,6.350291837356979
4.960197779123376,5.537520480793557,5.759940148704832,5.901867694428642,3.5024542594200687,3.172645153041984,3.406062525893645,6.118145201384742,4.985078335301954,2.96552147941658,8.002934668580682,8.577170534858261,10.498958312378608,6.97992491293432,6.31366523605227,5.353785854191951,6.2765031839039445,5.073217142365463,6.717419047160113,7.153115582055218,5.280391950210744,3.67605588383737,5.325281920272044,2.0842163852501514,3.6038825890952144,5.773368491263511,3.44963572727706,2.919766040769372,7.189583517505492,5.152756715314683,8.547954104431554,7.670421262563997
4.563186897320254,5.901356736527773,7.011548452761524,7.281280622783028,4.3582964645825095,3.161630761765275,4.462795332266384,9.389770033063982,4.72926696255738,2.543151011393249,10.568067439418117,7.923728710951861,11.097669045950576,7.75373786576362,6.242632163454941,4.1211177105643735,7.271939138733895,6.129284359468158,5.267457629465493,7.025674348871557,4.952348681854545,3.9085448230883744,4.776462083723474,1.7931193053281542,4.115538078363737,7.547261504022307,2.923564542460904,2.2710630475627127,11.24437418604473,4.340371220214281,10.208640800726137,7.538314803126108
4.082219453582068,5.26750699022613,6.040604208972887,5.3386221201155415,3.8204605974033523,3.287780719618548,3.0322396229338078,6.47451880133219,3.9459099099327486,1.9943772827342416,6.872201425830197,7.29566015705678,7.106667448629168,6.062000370264821,6.0187120897599895,3.4842753178154577,7.744992018772559,6.423122644324181,10.16316763676519,9.134447959554628,4.369631025747141,3.1819284047070524,6.904675083713506,1.9140038012651188,3.4944513657118144,6.197198521071595,3.562382091154236,2.153729469182413,7.514988593020553,5.287863905222236,8.075336132230932,7.420792228473099
4.221430682598342,5.0189314657225905,5.14292076179629,5.191617632828682,3.2047125562225807,2.9071619926832586,3.458154104321844,6.463604396304612,4.904128775980091,2.655054811758676,7.647574915592253,7.345092548280599,9.843346699663908,7.31092924871322,6.585166119745788,4.2526506272731295,5.761405428737008,5.036288891958262,6.953177915304228,7.5774879396927215,4.216870788911065,3.4085522960088124,5.586603715975343,1.8912499124418856,3.6180754591363726,5.592926785743467,3.416091926102548,2.605704371957041,7.5144708277132155,4.519431047813784,8.818319681284986,8.059100573773303
3.0508660572657536,3.3102600637169086,3.5263349825891317,3.6315082291058554,2.1557098838046973,1.9437796396168228,2.589024202329328,4.7242091156305746,3.1555627147084677,1.889078663724305,4.630126247322935,4.9875898862493715,5.128942555039936,4.8995117751603265,4.616944453551655,2.254771339954716,3.975872942820194,3.213035815094312,3.2741601835617566,4.037298414820961,3.288201011041252,2.5275962973615744,2.9750831907879927,1.3457508057814924,2.7530929409227807,3.6993578028074543,2.496224203561792,1.7547934086537924,5.517259239867331,4.1745996629765045,6.582030476421284,6.56412716112645
